"y_true","y_pred","y_pred_clipped"
5,4.75269128836333,4.75269128836333
4.5,4.75334666545272,4.75334666545272
5,4.63864509937739,4.63864509937739
5,4.7376433824852,4.7376433824852
4.5,4.70298053058616,4.70298053058616
5,4.52417555671791,4.52417555671791
4.5,4.57281833945826,4.57281833945826
4,4.46143044615696,4.46143044615696
5,4.47398995041853,4.47398995041853
4.5,4.03764632288718,4.03764632288718
4.5,4.63605974007185,4.63605974007185
4.5,4.64928239301157,4.64928239301157
4.5,4.16809047821142,4.16809047821142
4.5,4.57712024953534,4.57712024953534
4.5,4.54138810207509,4.54138810207509
5,4.64650894609488,4.64650894609488
5,4.38325237137046,4.38325237137046
5,4.55660065716451,4.55660065716451
4.5,4.55123572965857,4.55123572965857
4.5,4.47493307471026,4.47493307471026
4.5,4.60774557587643,4.60774557587643
3.5,3.7827688689482,3.7827688689482
4.5,4.545298515255,4.545298515255
4.5,4.43782803660655,4.43782803660655
4.5,4.43649953601188,4.43649953601188
4.5,4.48520847602941,4.48520847602941
4.5,4.51997879344373,4.51997879344373
4.5,4.61506458594938,4.61506458594938
4.5,4.6451723782121,4.6451723782121
4.5,4.53707465795293,4.53707465795293
5,4.74301053135077,4.74301053135077
3.5,3.43032220470222,3.43032220470222
4,4.49853079690765,4.49853079690765
4.5,4.43193233626545,4.43193233626545
4,4.60808749597367,4.60808749597367
4,3.81229156060227,3.81229156060227
3,3.4381694725797,3.4381694725797
4.5,4.18764063547597,4.18764063547597
5,4.59713404790335,4.59713404790335
4.5,4.50186087584748,4.50186087584748
4.5,4.65836910616097,4.65836910616097
4.5,4.03242195940822,4.03242195940822
4,4.51073083254233,4.51073083254233
4.5,4.44671267600592,4.44671267600592
4.5,4.33680989433173,4.33680989433173
5,4.10968722877792,4.10968722877792
4.5,4.73577234509968,4.73577234509968
4.5,3.70828706602238,3.70828706602238
3,2.95249081487798,2.95249081487798
4.5,4.63648612760118,4.63648612760118
4,3.39224974702098,3.39224974702098
4.5,3.60807640919284,3.60807640919284
3.5,3.20028994078272,3.20028994078272
4.5,4.14426696831273,4.14426696831273
4,3.89341491767397,3.89341491767397
4.5,4.74377866454642,4.74377866454642
4,3.84250815435891,3.84250815435891
3.5,3.49330721063756,3.49330721063756
4,4.19634833039333,4.19634833039333
3,2.99868189192046,2.99868189192046
4.5,4.5467382612283,4.5467382612283
4.5,4.66091468069564,4.66091468069564
4,4.66387738342652,4.66387738342652
3,3.18265584847767,3.18265584847767
4.5,3.30306598476888,3.30306598476888
5,4.55845742408017,4.55845742408017
4,3.67293774752734,3.67293774752734
5,4.4436940051934,4.4436940051934
4,4.40881085178149,4.40881085178149
4.5,4.51744080364942,4.51744080364942
4.5,4.62798027189249,4.62798027189249
3,3.73237983064399,3.73237983064399
4,3.80874339912599,3.80874339912599
4.5,4.68192725215671,4.68192725215671
4.5,3.79284847285706,3.79284847285706
4,3.69303177965164,3.69303177965164
4.5,3.57451407235627,3.57451407235627
3.5,3.7489734980121,3.7489734980121
5,3.68237031880457,3.68237031880457
4.5,3.68403885881325,3.68403885881325
4.5,4.14761582314946,4.14761582314946
4.5,4.5503789999973,4.5503789999973
3.5,3.75133308601101,3.75133308601101
3.5,3.76690340951876,3.76690340951876
4,4.39388144443502,4.39388144443502
3,3.37650019672724,3.37650019672724
4.5,3.66932174529826,3.66932174529826
3.5,3.76664971654029,3.76664971654029
2.5,2.7727956007888,2.7727956007888
2.5,3.68237031880457,3.68237031880457
4,3.1382783902846,3.1382783902846
4.5,3.89786679448412,3.89786679448412
4,3.06416379171219,3.06416379171219
5,3.62808645981377,3.62808645981377
3.5,3.42543778393147,3.42543778393147
5,3.71674181400501,3.71674181400501
4.5,3.60995855435503,3.60995855435503
4,3.82330144039364,3.82330144039364
3.5,3.71967289086394,3.71967289086394
3.5,3.69303177965164,3.69303177965164
4,3.57024954486227,3.57024954486227
3,2.99996735499406,2.99996735499406
5,3.62808645981377,3.62808645981377
2.5,3.05548476274099,3.05548476274099
2.5,3.26844512398876,3.26844512398876
3,3.50401420485895,3.50401420485895
2.5,3.15098533006465,3.15098533006465
2.5,3.62808645981377,3.62808645981377
2.5,3.62808645981377,3.62808645981377
2.5,3.75038688818912,3.75038688818912
2.5,3.69303177965164,3.69303177965164
