"y_true","y_pred","y_pred_clipped"
5,4.59255818991963,4.59255818991963
4.5,4.61608993719118,4.61608993719118
5,4.52265816551309,4.52265816551309
5,4.6310842874363,4.6310842874363
4.5,4.63473320915207,4.63473320915207
5,4.49372830962223,4.49372830962223
4.5,4.60688116543026,4.60688116543026
4,4.48926646381185,4.48926646381185
5,4.53152331359342,4.53152331359342
4.5,4.38978601105887,4.38978601105887
4.5,4.48642587618292,4.48642587618292
4.5,4.52020950021972,4.52020950021972
4.5,4.46108620020084,4.46108620020084
4.5,4.64517022838496,4.64517022838496
4.5,4.57252041126925,4.57252041126925
5,4.52137914307686,4.52137914307686
5,4.42867337134779,4.42867337134779
5,4.61150797040462,4.61150797040462
4.5,4.57534604859489,4.57534604859489
4.5,4.53189764514422,4.53189764514422
4.5,4.52442402574674,4.52442402574674
3.5,3.70905358268644,3.70905358268644
4.5,4.45460980682486,4.45460980682486
4.5,4.44983472797268,4.44983472797268
4.5,4.55766928807985,4.55766928807985
4.5,4.54153124129788,4.54153124129788
4.5,4.53659615727452,4.53659615727452
4.5,4.56577007173332,4.56577007173332
4.5,4.51164761915525,4.51164761915525
4.5,4.57884404650172,4.57884404650172
5,4.6407036617328,4.6407036617328
3.5,3.31008953503934,3.31008953503934
4,4.46339706066822,4.46339706066822
4.5,4.46673359014746,4.46673359014746
4,4.52553513685785,4.52553513685785
4,3.75830169610435,3.75830169610435
3,3.31498227107476,3.31498227107476
4.5,4.46549557573801,4.46549557573801
5,4.34919607831783,4.34919607831783
4.5,4.55151468192812,4.55151468192812
4.5,4.50916820231998,4.50916820231998
4.5,4.01129913381132,4.01129913381132
4,4.57591243733268,4.57591243733268
4.5,4.50006710032411,4.50006710032411
4.5,4.42370086593558,4.42370086593558
5,4.35436598751726,4.35436598751726
4.5,4.6358039393122,4.6358039393122
4.5,4.16450293713809,4.16450293713809
3,2.85404040920227,2.85404040920227
4.5,4.6444581051861,4.6444581051861
4,3.15382774593403,3.15382774593403
4.5,4.15013603895388,4.15013603895388
3.5,3.45185212117093,3.45185212117093
4.5,4.19313467683363,4.19313467683363
4,3.80340600765902,3.80340600765902
4.5,4.66078084127061,4.66078084127061
4,3.71057981566703,3.71057981566703
3.5,3.50378251511136,3.50378251511136
4,4.38150399086705,4.38150399086705
3,3.26863241981606,3.26863241981606
4.5,4.4560539998867,4.4560539998867
4.5,4.52710611749037,4.52710611749037
4,4.52575182319822,4.52575182319822
3,3.02860195507174,3.02860195507174
4.5,3.24981976130521,3.24981976130521
5,4.70877297642682,4.70877297642682
4,3.59013419633065,3.59013419633065
5,4.52045543165894,4.52045543165894
4,4.41810395076664,4.41810395076664
4.5,4.56461934705311,4.56461934705311
4.5,4.55432523014045,4.55432523014045
3,3.59488305504783,3.59488305504783
4,4.22613255985474,4.22613255985474
4.5,4.57246789857289,4.57246789857289
4.5,3.69946055485831,3.69946055485831
4,3.83574606444758,3.83574606444758
4.5,3.53686909594776,3.53686909594776
3.5,3.58719325429421,3.58719325429421
5,3.59427455896504,3.59427455896504
4.5,3.66430187211573,3.66430187211573
4.5,4.21999018024087,4.21999018024087
4.5,4.46470494858862,4.46470494858862
3.5,3.58196490601414,3.58196490601414
3.5,3.63587753942345,3.63587753942345
4,4.39807494545692,4.39807494545692
3,3.14230727173389,3.14230727173389
4.5,3.55955003854048,3.55955003854048
3.5,3.62492847610755,3.62492847610755
2.5,3.08678551005317,3.08678551005317
2.5,3.59427455896504,3.59427455896504
4,2.93573842011645,2.93573842011645
4.5,3.80515845863941,3.80515845863941
4,3.14993289286886,3.14993289286886
5,3.65672093808202,3.65672093808202
3.5,3.47455591565749,3.47455591565749
5,3.82087206641906,3.82087206641906
4.5,3.59776534262748,3.59776534262748
4,3.78515922019439,3.78515922019439
3.5,3.58806960259636,3.58806960259636
3.5,3.83574606444758,3.83574606444758
4,3.69858397125769,3.69858397125769
3,3.03907414386196,3.03907414386196
5,3.65672093808202,3.65672093808202
2.5,3.14675233731331,3.14675233731331
2.5,3.50738936261195,3.50738936261195
3,3.40881356209854,3.40881356209854
2.5,2.9462547625703,2.9462547625703
2.5,3.65672093808202,3.65672093808202
2.5,3.65672093808202,3.65672093808202
2.5,3.753057960741,3.753057960741
2.5,3.83574606444758,3.83574606444758
